,text,label,text_length
0,"As an app developer aiming for low-resource environments, I want to build a text-based ORG1 chat tool.",Chat,103
1,"As a community member, I want to create a ORG2 archive of gitter chat rooms relevant to the community.",Chat,105
2,"As a existing Solid user, I would like to use my identity to register a Pod with another Provider so that I can have different Pods for different purposes, or to migrate data",Authentication,174
3,"As a ORG3, I would like it to be easy for my users to register with ORG4 to increase the value of my ORG5 offering",Authentication,142
4,"As a ORG3, I would like to easily register new users with an identity so that they quickly become customers",Authentication,126
5,As a Solid user I want to chat with other Solid users so that I can communicate when not being physically in the same place,Chat,123
6,"As a Solid user, I’d like a sync app to automatically upload my contacts and pictures to my Pod, so I don’t have to enter them manually",Contacts,135
7,"As a person, I'd like to see all data generated about me in CARDINAL1 dashboard even if they're not on my Pod, so I have CARDINAL1 place to get an overview of everything relevant to me",Aggregation,172
8,As a Solid user who is not PERSON1 mentus I want my interests to be protected so that I am not taken advantage of when I am in a vulnerable position,Accessibility,147
9,As a Solid user who is not computer savvy I want my data wishes to be respected so that my wishes are not compromised by my knowledge,Accessibility,133
10,As a ORG1 user with visual impairments I want to be able to increase the font size so that I can continue using ORG1 functionality in the same way as other ORG1 users,Accessibility,169
11,As a colour blind ORG1 user I want to use ORG1 normally e.g. have a monochrome interface with a highlight colour if essential so that I can use the same tools as other ORG1 users,Accessibility,181
12,As a Solid user I want to read and navigate with voice control so that I can have access to the same tools as Solid users without read and navigations restrictions,Accessibility,163
13,As a Solid user with motor problems I want to be able to navigate by data by keyboard so that I can have access to the same tools as Solid users without motor problems,Accessibility,167
14,As a Solid user I want to be able to identify myself without association to the identifier so that I am not overdependent on an entity that I cannot control,Authentication,156
15,As a Solid user I want to be able to identify myself online so that others can trust me in online interactions,Authentication,110
16,As a Solid user I want to be able to sign up for an online identification with ORG6 so that I can identify myself online,Authentication,121
17,"As an operator of wifi for restaurants, hotels, etc I'd like to allow clients to use their ORG7 to log in so that we don't need to manage passwords or have a captive portal.",Authentication,174
18,"As a developer/power user, I'd like to store and retrieve ORG8 resources preserving serialization-specific details (e.g. ORG9 comments or prefixes).",Consistency,149
19,"As a user, I want to use my ORG7 to register/authenticate everywhere on the Web, in and out of my pod",Authentication,102
20,"As an IoT developer, I want to have a lightweight authentication mechanism so that my very small microcontrollers can authenticate themselves",Authentication,141
21,"As a citizen, I want to use an identity verified by my government so that I can we can trust each other's identity in my country.",Authentication,129
22,"As a citizen, I want to store my local council's contact details so that I can reach out for community issues.",Contacts,110
23,"As a client, I want a secure chat so that I can discuss confidential matters with my lawyer.",Chat,92
24,"As a client, I want to save my consultant's contact information so that I can get advice on my project.",Contacts,103
25,"As a consumer, I want a feature to save manufacturer contact details so that I can inquire about product specifications when needed.",Contacts,132
26,"As a customer, I want a chat option so that I can inquire about products and services.",Chat,86
27,"As a customer, I want a chatbot so that I can get quick answers to common questions.",Chat,84
28,"As a customer, I want to easily retrieve the store manager's contact for complaints about products.",Contacts,99
29,"As a guest, I want an organized list of hotel services' contact numbers so that I can request services without searching.",Contacts,121
30,"As a gamer, I want an in-game chat so that I can communicate with other players.",Chat,80
31,"As a job applicant, I want to save ORG10's contact details so that I can follow up on my application status.",Contacts,105
32,"As a member, I want a community chat so that I can interact with other members.",Chat,79
33,"As a member, I want to have a directory of admin contacts so that I can report platform issues.",Contacts,95
34,"As a parent, I want a monitored chat so that I can ensure my child's online safety.",Chat,83
35,"As a passenger, I want a feature to save and update airline contact details so I can easily manage my flight bookings.",Contacts,118
36,"As a patient, I want to store my doctor's contact information so that I can reach out when I experience symptoms.",Contacts,113
37,"As a reader, I want a repository of authors' contact details so that I can provide feedback on their books.",Contacts,107
38,"As a remote worker, I want a video chat so that I can have virtual meetings.",Chat,76
39,"As a student, I want a class chat so that I can discuss assignments with classmates.",Chat,84
40,"As a student, I want an organized contact list of professors so that I can reach out with questions outside of lectures.",Contacts,120
41,"As a team member, I want a group chat so that I can collaborate with my colleagues.",Chat,83
