text,label,text_length
"As an app developer aiming for low-resource environments, I want to build a text-based Solid chat tool.",Chat,103
"As a community member, I want to create a Pod/RDF archive of gitter chat rooms relevant to the community.",Chat,105
"As a existing Solid user, I would like to use my identity to register a Pod with another Provider so that I can have different Pods for different purposes, or to migrate data",Authentication,174
"As a Solid Identity Provider, I would like it to be easy for my users to register with Pod Providers to increase the value of my IdP offering",Authentication,142
"As a Solid Identity Provider, I would like to easily register new users with an identity so that they quickly become customers",Authentication,126
As a Solid user I want to chat with other Solid users so that I can communicate when not being physically in the same place,Chat,123
"As a Solid user, I’d like a sync app to automatically upload my contacts and pictures to my Pod, so I don’t have to enter them manually",Contacts,135
"As a person, I'd like to see all data generated about me in one dashboard even if they're not on my Pod, so I have one place to get an overview of everything relevant to me",Aggregation,172
As a Solid user who is not compus mentus I want my interests to be protected so that I am not taken advantage of when I am in a vulnerable position,Accessibility,147
As a Solid user who is not computer savvy I want my data wishes to be respected so that my wishes are not compromised by my knowledge,Accessibility,133
As a Solid user with visual impairments I want to be able to increase the font size so that I can continue using Solid functionality in the same way as other Solid users,Accessibility,169
As a colour blind Solid user I want to use Solid normally e.g. have a monochrome interface with a highlight colour if essential so that I can use the same tools as other Solid users,Accessibility,181
As a Solid user I want to read and navigate with voice control so that I can have access to the same tools as Solid users without read and navigations restrictions,Accessibility,163
As a Solid user with motor problems I want to be able to navigate by data by keyboard so that I can have access to the same tools as Solid users without motor problems,Accessibility,167
As a Solid user I want to be able to identify myself without association to the identifier so that I am not overdependent on an entity that I cannot control,Authentication,156
As a Solid user I want to be able to identify myself online so that others can trust me in online interactions,Authentication,110
As a Solid user I want to be able to sign up for an online identification with webid so that I can identify myself online,Authentication,121
"As an operator of wifi for restaurants, hotels, etc I'd like to allow clients to use their WebID to log in so that we don't need to manage passwords or have a captive portal.",Authentication,174
"As a developer/power user, I'd like to store and retrieve RDF resources preserving serialization-specific details (e.g. Turtle comments or prefixes).",Consistency,149
"As a user, I want to use my WebID to register/authenticate everywhere on the Web, in and out of my pod",Authentication,102
"As an IoT developer, I want to have a lightweight authentication mechanism so that my very small microcontrollers can authenticate themselves",Authentication,141
"As a citizen, I want to use an identity verified by my government so that I can we can trust each other's identity in my country.",Authentication,129
"As a citizen, I want to contact my local council so that I can discuss community issues.",Contacts,88
"As a client, I want a secure chat so that I can discuss confidential matters with my lawyer.",Chat,92
"As a client, I want to contact my consultant so that I can get advice on my project.",Contacts,84
"As a consumer, I want to contact the manufacturer so that I can ask about product specifications.",Contacts,97
"As a customer, I want a chat option so that I can inquire about products and services.",Chat,86
"As a customer, I want a chatbot so that I can get quick answers to common questions.",Chat,84
"As a customer, I want to be able to contact customer service so that I can get help with my issues.",Contacts,99
"As a customer, I want to contact the store manager so that I can complain about a faulty product.",Contacts,97
"As a gamer, I want an in-game chat so that I can communicate with other players.",Chat,80
"As a guest, I want to contact the hotel reception so that I can request room service.",Contacts,85
"As a job applicant, I want to contact HR so that I can follow up on my application status.",Contacts,90
"As a member, I want a community chat so that I can interact with other members.",Chat,79
"As a member, I want to contact the admin so that I can report issues with the platform.",Contacts,87
"As a parent, I want a monitored chat so that I can ensure my child's online safety.",Chat,83
"As a passenger, I want to contact the airline so that I can change my flight details.",Contacts,85
"As a patient, I want to contact my doctor so that I can discuss my symptoms.",Contacts,76
"As a reader, I want to contact the author so that I can give feedback on their book.",Contacts,84
"As a remote worker, I want a video chat so that I can have virtual meetings.",Chat,76
"As a student, I want a class chat so that I can discuss assignments with classmates.",Chat,84
"As a student, I want to contact my professor so that I can ask questions about the lecture.",Contacts,91
"As a team member, I want a group chat so that I can collaborate with my colleagues.",Chat,83
"As a tenant, I want to contact my landlord so that I can report maintenance issues.",Contacts,83
"As a user, I want a chat feature so that I can communicate with other users in real time.",Chat,89
"As a user, I want a chat history so that I can refer back to previous conversations.",Chat,84
"As a user, I want a contact form on the website so that I can send inquiries directly.",Contacts,86
"As a user, I want a live chat feature so that I can get instant support.",Chat,72
"As a user, I want a mobile chat so that I can communicate on the go.",Chat,68
"As a user, I want a private chat so that I can have one-on-one conversations.",Chat,77
"As a user, I want an encrypted chat so that my conversations remain private.",Chat,76
"As a user, I want to contact the app developer so that I can report bugs.",Contacts,73
"As a Developer, I want to aggregate data from different databases so that I can create a unified view of the data.",Aggregation,114
"As a Project Manager, I want to see aggregated project progress reports so that I can make informed decisions.",Aggregation,110
"As a Quality Assurance Engineer, I want to test the data aggregation process to ensure it's error-free.",Aggregation,103
"As a Developer, I want to aggregate user feedback so that I can prioritize feature development.",Aggregation,95
"As a Project Manager, I want to aggregate team performance metrics so that I can identify areas for improvement.",Aggregation,112
"As a Quality Assurance Engineer, I want to verify the accuracy of aggregated data to ensure it's reliable.",Aggregation,106
"As a Developer, I want to aggregate system logs so that I can troubleshoot issues effectively.",Aggregation,94
"As a Project Manager, I want to aggregate resource usage data so that I can optimize resource allocation.",Aggregation,105
"As a Quality Assurance Engineer, I want to test the system's ability to aggregate large volumes of data to ensure it's scalable.",Aggregation,128
"As a Developer, I want to aggregate real-time data so that I can provide up-to-date information to users.",Aggregation,105
"As a Developer, I want to ensure data consistency across all databases so that users always see accurate data.",Consistency,110
"As a Project Manager, I want to ensure consistency in project deliverables so that we meet quality standards.",Consistency,109
"As a Quality Assurance Engineer, I want to test for data consistency to ensure the system's reliability.",Consistency,104
"As a Developer, I want to implement consistency checks in the code to prevent bugs.",Consistency,83
"As a Project Manager, I want to ensure consistency in team processes so that we can work efficiently.",Consistency,101
"As a Quality Assurance Engineer, I want to verify the consistency of user interfaces to ensure a good user experience.",Consistency,118
"As a Developer, I want to ensure consistency in error handling so that I can troubleshoot issues effectively.",Consistency,109
"As a Project Manager, I want to ensure consistency in communication so that everyone is on the same page.",Consistency,105
"As a Quality Assurance Engineer, I want to check for consistency in system performance under different loads.",Consistency,109
"As a Developer, I want to ensure consistency in system behavior across different platforms and devices.",Consistency,103
"As a Developer, I want to ensure that our website is accessible to users with visual impairments so that everyone can use our services.",Accessibility,135
"As a Quality Assurance Engineer, I want to test the system's compliance with accessibility standards to ensure we meet legal requirements.",Accessibility,138
"As a Project Manager, I want to ensure that accessibility is considered in every phase of the project so that our product is inclusive.",Accessibility,135
