text,label
"As an app developer aiming for low-resource environments, I want to build a text-based Solid chat tool.",Chat
"As a community member, I want to create a Pod/RDF archive of gitter chat rooms relevant to the community.",Chat
"As a governmental agency providing Pods for citizens who manage their data, I would like to provision Pods for citizens using an identity provided by a different governmental agency so that agencies do not need to duplicate effort",Authentication
"As a existing Solid user, I would like to use my identity to register a Pod with another Provider so that I can have different Pods for different purposes, or to migrate data",Authentication
"As a Solid Identity Provider, I would like it to be easy for my users to register with Pod Providers to increase the value of my IdP offering ",Authentication
"As a Solid Identity Provider, I would like to easily register new users with an identity so that they quickly become customers",Authentication
As a Solid user I want to chat with other Solid users so that I can communicate when not being physically in the same place,Chat
As a Solid user I want to know when I am a Solid user and how so that I am able to be in control and actively consent,Authentication
"As a Solid user, I’d like a sync app to automatically upload my contacts and pictures to my Pod, so I don’t have to enter them manually",Contacts
"As a person, I'd like to see all data generated about me in one dashboard even if they're not on my Pod, so I have one place to get an overview of everything relevant to me",Aggregation
As a Solid user who is not compus mentus I want my interests to be protected so that I am not taken advantage of when I am in a vulnerable position,Accessibility
As a Solid user who is not computer savvy I want my data wishes to be respected so that my wishes are not compromised by my knowledge,Accessibility
As a Solid user with visual impairments I want to be able to increase the font size so that I can continue using Solid functionality in the same way as other Solid users,Accessibility
As a colour blind Solid user I want to use Solid normally e.g. have a monochrome interface with a highlight colour if essential so that I can use the same tools as other Solid users,Accessibility
As a Solid user I want to read and navigate with voice control so that I can have access to the same tools as Solid users without read and navigations restrictions,Accessibility
As a Solid user with motor problems I want to be able to navigate by data by keyboard so that I can have access to the same tools as Solid users without motor problems,Accessibility
As a Solid user I want to be able to identify myself without association to the identifier so that I am not overdependent on an entity that I cannot control,Authentication
As a Solid user I want to be able to identify myself online so that others can trust me in online interactions,Authentication
As a Solid user I want to be able to sign up for an online identification with webid so that I can identify myself online,Authentication
"As an operator of wifi for restaurants, hotels, etc I'd like to allow clients to use their WebID to log in so that we don't need to manage passwords or have a captive portal.",Authentication
"As a developer/power user, I'd like to store and retrieve RDF resources preserving serialization-specific details (e.g. Turtle comments or prefixes).",Consistency
"As a user, I want to use my WebID to register/authenticate everywhere on the Web, in and out of my pod",Authentication
"As an IoT developer, I want to have a lightweight authentication mechanism so that my very small microcontrollers can authenticate themselves",Authentication
"As a user with no connectivity (e.g. no phone, or an earthquake victim) I want to have an offline form factor (e.g. smart card, NFC pendant) with my ID and secure basic personal data so that I can receive services quickly and easily (e.g. food, shelter, medical aid).",Authentication
"As a citizen, I want to use an identity verified by my government so that I can we can trust each other's identity in my country.",Authentication
"As a citizen, I want to store my local council's contact details so that I can reach out for community issues.",Contacts
"As a client, I want a secure chat so that I can discuss confidential matters with my lawyer.",Chat
"As a client, I want to save my consultant's contact information so that I can get advice on my project.",Contacts
"As a consumer, I want a feature to save manufacturer contact details so that I can inquire about product specifications when needed.",Contacts
"As a customer, I want a chat option so that I can inquire about products and services.",Chat
